address	size	name	region	rust_method	status	provenance	vtable	domain
0x00401000	0	assign_shared_inline_ui_typed_value_ref_and_return_first_arg			confirmed		0x008bf7e0#28	ui
0x00401014	47	get_type_ZTBiomeMode			confirmed			world/pathing
0x00401043	0	get_type_ZTBiomeMode_vtable_thunk			confirmed		0x008bf7e0#1	world/pathing
0x00401048	32	get_core_descriptor_metadata_table			confirmed			scripting
0x00401068	0	get_core_descriptor_metadata_table_vtable_thunk			confirmed		0x008bf7e0#2	scripting
0x0040106d	73	get_biome_mode_ui_handler_registry			confirmed			world/pathing
0x004010b6	0	copy_biome_mode_ui_handler_assignment_dependents			confirmed			world/pathing
0x004010cc	83	resolve_biome_mode_ui_handler_value			confirmed			world/pathing
0x0040111f	242	register_biome_mode_ui_handlers			confirmed			world/pathing
0x00401211	496	construct_biome_mode			confirmed			world/pathing
0x00401401	0	scalar_delete_biome_mode			confirmed		0x008bf7e0#0	world/pathing
0x0040141c	217	destroy_biome_mode			confirmed			world/pathing
0x004014f5	331	activate_biome_mode_tool			confirmed		0x008bf7e0#138	world/pathing
0x00401640	0	deactivate_biome_mode_tool			confirmed		0x008bf7e0#139	world/pathing
0x0040170c	153	update_biome_mode_frame			confirmed		0x008bf7e0#14	world/pathing
0x004017a5	0	request_biome_mode_cursor_refresh_value			confirmed		0x008bf7e0#154	world/pathing
0x004017ce	1816	refresh_biome_mode_brush_cursor			confirmed			world/pathing
0x00401ee6	0	handle_biome_mode_active_cursor_payload			confirmed		0x008bf7e0#27	world/pathing
0x00401f38	779	handle_biome_mode_paint_drag			confirmed		0x008bf7e0#150	world/pathing
0x00402243	0	handle_biome_mode_paint_drag_value			confirmed		0x008bf7e0#151	world/pathing
0x004022fc	132	read_biome_mode_cursor_config			confirmed		0x008bf7e0#20	world/pathing
0x00402380	1258	setup_terrain_biome_brush			confirmed			world/pathing
0x0040286a	61	set_ui_control_enabled			confirmed			ui
0x004028a7	197	update_biome_mode_toggle_controls			confirmed			world/pathing
0x0040296c	181	update_biome_paint_filter_control_availability			confirmed			world/pathing
0x00402a21	608	update_biome_mode_cursor_pick			confirmed			world/pathing
0x00402c81	186	adjust_biome_mode_brush_size			confirmed			world/pathing
0x00402d3b	659	read_terrain_paint_mode_config			confirmed			world/pathing
0x00402fce	587	refresh_biome_mode_panel			confirmed			world/pathing
0x00403219	817	handle_brush_size_control			confirmed			world/pathing
0x0040354a	133	handle_biome_mode_brush_step_command			confirmed			world/pathing
0x004035cf	187	handle_biome_mode_ground_cover_selection			confirmed			world/pathing
0x0040368a	1071	apply_selected_biome_paint_brush			confirmed			world/pathing
0x00403ab9	959	apply_biome_mix_paint_brush			confirmed			world/pathing
0x00403e78	2324	update_biome_paint_object_filter_cell			confirmed			world/pathing
0x0040478c	127	apply_biome_paint_object_filter_cells			confirmed			world/pathing
0x0040480b	733	collect_biome_paint_object_filter_cells			confirmed			world/pathing
0x00404ae8	107	handle_bfterrain_charge_undo_transaction			confirmed			world/pathing
0x00404b53	572	apply_biome_paint_object_brush			confirmed			world/pathing
0x00404d8f	101	refresh_biome_paint_sound_resource			confirmed			world/pathing
0x00404df4	153	update_biome_paint_sound_pan			confirmed			world/pathing
0x00404e8d	117	stop_active_biome_paint_sound			confirmed			world/pathing
0x00404f02	404	apply_biome_mix_transition_brush_effects			confirmed			world/pathing
0x00405096	522	refresh_biome_paint_projection_components			confirmed			world/pathing
0x004052a0	64	set_biome_mode_brush_query_flag			confirmed		0x008bf7e0#192	world/pathing
0x004052e0	82	apply_biome_paint_filter_mask			confirmed			world/pathing
0x00405332	67	set_biome_paint_filter_mask_bit			confirmed			world/pathing
0x00405375	69	set_biome_paint_trees_filter_value			confirmed			world/pathing
0x004053ba	69	set_biome_paint_plants_filter_value			confirmed			world/pathing
0x004053ff	69	set_biome_paint_rocks_filter_value			confirmed			world/pathing
0x00405444	1258	sweep_bounds_cleanup_area_entities			confirmed			runtime/support
0x0040592e	309	remove_biome_brush_cell_objects_from_undo_mgr			confirmed			world/pathing
0x00405a63	656	recreate_and_track_biome_brush_flattening_groups			confirmed			world/pathing
0x00405cf3	154	handle_biome_undo_delete_flattening			confirmed			world/pathing
0x00405d8d	158	handle_biome_undo_recreate_flattening			confirmed			world/pathing
0x00405e2b	92	set_biome_mode_painting_active			confirmed			world/pathing
0x00405e87	22	set_biome_paint_object_mode			confirmed			world/pathing
0x00405e9d	19	is_first_pointer_vector_entry_nonzero			confirmed			runtime/support
0x00405eb0	95	append_4byte_vector_value			confirmed			runtime/support
0x00405f0f	105	copy_construct_named_ui_value_assignment_ref_vector			confirmed			ui
0x00405f78	110	append_8byte_vector_value			confirmed			runtime/support
0x00405fe6	95	append_4byte_vector_value_checked_growth			confirmed			runtime/support
0x00406045	102	count_ordered_container_key_matches			confirmed			runtime/support
0x004060ab	174	get_or_insert_refcounted_ui_value_tree_payload			confirmed			ui
0x00406159	206	get_or_insert_refcounted_ui_value_pair_tree_payload			confirmed			ui
0x00406227	67	init_red_black_tree_header			confirmed			runtime/support
0x0040626a	49	destroy_red_black_tree_storage			confirmed			runtime/support
0x0040629b	175	get_or_insert_four_dword_key_tree_entry			confirmed			runtime/support
0x0040634a	92	lower_bound_four_dword_key_tree			confirmed			runtime/support
0x004063a6	191	get_or_insert_ui_value_assignment_dependent_tree_entry			confirmed			ui
0x00406465	105	count_ordered_container_key_matches_checked			confirmed			runtime/support
0x004064ce	30	destroy_refcounted_ui_value_assignment_dependent			confirmed			ui
0x004064ec	48	destroy_red_black_tree_storage			confirmed			runtime/support
0x0040651c	196	get_or_insert_dword_key_tree_entry			confirmed			runtime/support
0x004065e0	99	count_ordered_container_key_matches_inline_lower_bound			confirmed			runtime/support
0x00406643	0	allocate_construct_biome_mode			confirmed		0x008bfaec#6	world/pathing
0x0040665b	153	register_biome_mode_ui_handler			confirmed			world/pathing
0x0040673b	185	get_or_insert_64bit_key_tree_entry			confirmed			runtime/support
0x004067f4	128	lower_bound_64bit_key_tree			confirmed			runtime/support
0x00406874	0	scalar_delete_biome_mode_assignment_dependent			confirmed		0x008bfaec#0	world/pathing
0x0040688f	25	copy_construct_red_black_tree_storage			confirmed			runtime/support
0x004068a8	149	resize_4byte_vector			confirmed			runtime/support
0x0040693d	110	insert_4byte_vector_value_at_checked_iterator			confirmed			runtime/support
0x004069ab	110	insert_8byte_vector_value_at_checked_iterator			confirmed			runtime/support
0x00406a19	111	insert_4byte_vector_value_at_checked_iterator_b			confirmed			runtime/support
0x00406a88	382	insert_refcounted_value_pair_tree_entry_unique			confirmed			runtime/support
0x00406c06	48	destroy_red_black_tree_storage			confirmed			runtime/support
0x00406c36	378	insert_four_dword_key_tree_node			confirmed			runtime/support
0x00406db0	47	compare_four_dword_tree_key_less			confirmed			platform/runtime
0x00406ddf	98	copy_red_black_tree_storage_with_header_links			confirmed			runtime/support
0x00406e41	402	insert_fill_4byte_vector_range			confirmed			runtime/support
0x00406fd3	205	get_or_insert_refcounted_value_pair_tree_entry			confirmed			runtime/support
0x004070a0	148	erase_refcounted_value_tree_range_checked			confirmed			runtime/support
0x00407134	341	insert_64bit_key_tree_node			confirmed			runtime/support
0x00407289	145	erase_red_black_tree_range_checked			confirmed			runtime/support
0x0040731a	50	lower_bound_four_dword_key_tree_from_rightmost			confirmed			runtime/support
0x0040734c	64	rotate_tree_node_left_flag25			confirmed			runtime/support
0x0040738c	66	rotate_tree_node_right_flag25			confirmed			runtime/support
0x004073ce	64	rotate_tree_node_left			confirmed			runtime/support
0x0040740e	148	erase_red_black_tree_range_checked_b			confirmed			runtime/support
0x004074a2	160	append_biome_mode_ui_handler_entry			confirmed			world/pathing
0x00407542	677	erase_string_pair_tree_node			confirmed			runtime/support
0x004077e7	36	clear_string_pair_tree_storage			confirmed			runtime/support
0x0040780b	82	allocate_refcounted_value_pair_tree_node			confirmed			runtime/support
0x0040785d	673	erase_inline_ui_typed_value_tree_node			confirmed			ui
0x00407afe	36	clear_inline_ui_typed_value_tree_storage			confirmed			ui
0x00407b22	35	lower_bound_dword_key_tree			confirmed			runtime/support
0x00407b45	43	copy_four_dword_tree_node_payload			confirmed			io/assets
0x00407b70	80	destroy_string_pair_tree_nodes_recursive			confirmed			runtime/support
0x00407bc0	63	destroy_inline_ui_typed_value_tree_nodes_recursive			confirmed			ui
0x00407bff	49	destroy_plain_tree_nodes_recursive			confirmed			runtime/support
0x00407c94	40	as_BFComponent			confirmed			game-entities
0x00407d20	0	get_type_BFSafeHandle_UIComponent			confirmed			ui
0x00407d84	40	as_UIComponent			confirmed			ui
0x00407dac	0	get_type_BFSafeHandle_BFGBiome_vtable_thunk			confirmed		0x008bfaec#1	world/pathing
0x00407db1	0	assign_BFGBiome_safe_handle_value			confirmed		0x008bfaec#3	world/pathing
0x00407dca	117	register_biome_mode_ui_handler_entries			confirmed			world/pathing
0x00407e3f	40	as_BFGBiome			confirmed			world/pathing
0x00407e67	40	as_BFTerrainDecalComponent			confirmed			world/pathing
0x00407e8f	40	as_UIToggleSet			confirmed			ui
0x00407eb7	40	as_UIToggleButton			confirmed			ui
0x00407edf	40	keep_component_if_in_current_ui_context			confirmed			ui
0x00407f07	40	as_UIButton			confirmed			ui
0x00407f2f	23	get_selected_BFGBiomeData			confirmed			world/pathing
0x00407f46	59	find_8byte_ref_entry_by_key			confirmed			runtime/support
0x00407f81	88	try_get_BFUndoTransactionData_value			confirmed			economy
0x00407fd9	40	as_ZTPath			confirmed			world/pathing
0x00408001	40	get_current_zt_undo_mgr_if_present			confirmed			runtime/support
0x00408029	49	copy_named_ui_value_assignment_ref_range			confirmed			ui
0x004080be	40	as_BFGBiomeData			confirmed			world/pathing
0x004080e6	43	copy_named_ui_value_assignment_ref_range_b			confirmed			ui
0x00408111	39	memmove_4byte_vector_tail			confirmed			runtime/support
0x00408138	0	set_current_mode_from_receiver_context			confirmed		0x008bf7e0#148	runtime/support
0x0040814a	0	read_receiver_active_flag_190_bit3			confirmed		0x008bf7e0#144	runtime/support
0x00408156	0	call_receiver_slot_234_then_tail_slot_230			confirmed		0x008bf7e0#142	runtime/support
0x0040816c	0	test_receiver_statecc_zero			confirmed		0x008bf7e0#89	runtime/support
0x00408178	0	read_receiver_flag_f0_bit1			confirmed		0x008bf7e0#18	runtime/support
0x00408183	0	scalar_delete_refcounted_ui_value_assignment			confirmed		0x008bfe14#0	ui
0x0040819e	0	get_type_BFSafeHandle_BFComponent_vtable_thunk			confirmed		0x008bfe14#1	game-entities
0x004081a3	0	assign_BFComponent_safe_handle_value			confirmed		0x008bfe14#3	game-entities
0x004081bc	36	call_strided_destructor_range_reverse			confirmed			runtime/support
0x004081e0	30	call_strided_destructor_range_forward			confirmed			runtime/support
0x004081fe	0	scalar_delete_to_base_exception_vtable			confirmed		0x008bfb90#0	runtime/support
0x0040821a	23	assign_inline_ui_string_from_view			confirmed			ui
0x00408231	84	assign_inline_ui_string_chars			confirmed			ui
0x00408285	38	update_inline_ui_string_length			confirmed			ui
0x004082ab	28	memmove_s_return_dest			confirmed			runtime/support
0x004082c7	28	memcpy_s_return_dest			confirmed			runtime/support
0x004082e3	0	scalar_delete_named_ui_value_assignment_ref			confirmed		0x008bfe28#0	ui
0x004082fe	0	get_type_BFSafeHandle_BFGEntity_vtable_thunk			confirmed		0x008bfe28#1	game-entities
0x0040833d	29	destroy_string_exception_object			confirmed			game-entities
0x00408375	34	construct_string_exception_from_inline_string			confirmed			runtime/support
0x00408397	38	construct_inline_ui_string_copy			confirmed			ui
0x004083bd	74	destroy_inline_ui_string_storage			confirmed			ui
0x00408407	28	set_inline_ui_string_length_and_terminator			confirmed			ui
0x00408423	146	assign_inline_ui_string_substr			confirmed			ui
0x004084b5	111	erase_inline_ui_string_range			confirmed			ui
0x00408524	94	resize_inline_ui_string_storage			confirmed			ui
0x00408582	150	grow_inline_ui_string_storage			confirmed			ui
0x00408618	58	allocate_inline_ui_string_buffer			confirmed			ui
0x00408688	34	construct_inline_ui_string_from_cstr			confirmed			ui
0x004086aa	35	assign_inline_ui_string_from_cstr_length			confirmed			ui
0x004086cd	114	assign_inline_ui_string_checked_chars			confirmed			ui
0x0040873f	52	inline_ui_string_storage_contains_pointer			confirmed			ui
0x00408773	24	raise_exception_object_via_vtable			confirmed			game-entities
0x0040878b	46	make_checked_8byte_vector_iterator_pair			confirmed			runtime/support
0x004087b9	412	insert_fill_8byte_vector_range			confirmed			runtime/support
0x00408955	62	allocate_8byte_vector_storage			confirmed			runtime/support
0x00408993	56	copy_named_ui_value_assignment_ref_range_backward			confirmed			ui
0x004089cb	22	type_chain_contains_type			confirmed			runtime/support
0x004089e1	29	compare_u32_key_three_way			confirmed			platform/runtime
0x004089fe	0	scalar_delete_named_ui_value_assignment_list			confirmed		0x008bfe3c#0	ui
0x00408a19	0	get_type_BFSafeHandle_UIComponent_vtable_thunk			confirmed		0x008bfe3c#1	ui
0x00408a1e	0	assign_UIComponent_safe_handle_value			confirmed		0x008bfe3c#3	ui
0x00408a37	24	destroy_ui_value_assignment_base			confirmed			ui
0x00408a4f	0	scalar_delete_ui_value_assignment_base			confirmed		0x008bfbac#0	ui
0x00408a6a	37	init_8byte_vector_storage_with_capacity			confirmed			runtime/support
0x00408a8f	0	format_BFBooleanEvent_value_to_inline_string			confirmed		0x008bfc80#27	runtime/support
0x00408aa2	38	format_bool_to_inline_ui_string			confirmed			ui
0x00408ac8	0	write_BFBooleanEvent_bool32_output			confirmed		0x008bfc80#30	runtime/support
0x00408adb	0	write_BFBooleanEvent_byte_output			confirmed		0x008bfc80#32	runtime/support
0x00408ae9	34	advance_four_dword_spatial_key_past_boundary			confirmed			runtime/support
0x00408b0b	22	init_named_ui_value_assignment_ref_copy			confirmed			ui
0x00408b21	29	get_grid_vertex_effective_height			confirmed			renderer
0x00408b3e	0	format_BFFloatEvent_value_to_inline_string			confirmed		0x008bfd08#27	runtime/support
