address	size	name	region	rust_method	status	provenance	vtable	domain
0x00401014	47	get_type_ZTBiomeMode			confirmed			
0x00401048	32	get_core_descriptor_metadata_table			confirmed			
0x0040106d	73	get_biome_mode_ui_handler_registry			confirmed			
0x004010cc	83	resolve_biome_mode_ui_handler_value			confirmed		0x008bfae4#1	
0x0040111f	242	register_biome_mode_ui_handlers			confirmed			
0x00401211	496	construct_biome_mode		mode	confirmed			
0x0040141c	217	destroy_biome_mode		mode	confirmed			
0x004014f5	331	activate_biome_mode_tool			confirmed		0x008bf7e0#138	
0x0040170c	153	update_biome_mode_frame			confirmed		0x008bf7e0#14	
0x004017ce	1816	refresh_biome_mode_brush_cursor			confirmed			
0x00401f38	779	handle_biome_mode_paint_drag			confirmed		0x008bf7e0#150	
0x004022fc	132	read_biome_mode_cursor_config			confirmed		0x008bf7e0#20	
0x00402380	1258	setup_terrain_biome_brush			confirmed			
0x0040286a	61	set_ui_control_enabled			confirmed			
0x004028a7	197	update_biome_mode_toggle_controls			confirmed			
0x0040296c	181	update_biome_paint_filter_control_availability			confirmed			
0x00402a21	608	update_biome_mode_cursor_pick			confirmed			
0x00402c81	186	adjust_biome_mode_brush_size			confirmed			
0x00402d3b	659	read_terrain_paint_mode_config			confirmed			
0x00402fce	587	refresh_biome_mode_panel			confirmed			
0x00403219	817	handle_brush_size_control			confirmed			
0x0040354a	133	handle_biome_mode_brush_step_command		command	confirmed			
0x004035cf	187	handle_biome_mode_ground_cover_selection			confirmed			
0x0040368a	1071	apply_selected_biome_paint_brush			confirmed			
0x00403ab9	959	apply_biome_mix_paint_brush			confirmed			
0x00403e78	2324	update_biome_paint_object_filter_cell			confirmed			
0x0040478c	127	apply_biome_paint_object_filter_cells			confirmed			
0x0040480b	733	collect_biome_paint_object_filter_cells			confirmed			
0x00404ae8	107	handle_bfterrain_charge_undo_transaction			confirmed			
0x00404b53	572	apply_biome_paint_object_brush			confirmed			
0x00404d8f	101	refresh_biome_paint_sound_resource			confirmed			
0x00404df4	153	update_biome_paint_sound_pan			confirmed			
0x00404e8d	117	stop_active_biome_paint_sound			confirmed			
0x00404f02	404	apply_biome_mix_transition_brush_effects			confirmed			
0x00405096	522	refresh_biome_paint_projection_components			confirmed			
0x004052a0	64	set_biome_mode_brush_query_flag			confirmed		0x008bf7e0#192	
0x004052e0	82	apply_biome_paint_filter_mask			confirmed			
0x00405332	67	set_biome_paint_filter_mask_bit			confirmed			
0x00405375	69	set_biome_paint_trees_filter_value			confirmed			
0x004053ba	69	set_biome_paint_plants_filter_value			confirmed			
0x004053ff	69	set_biome_paint_rocks_filter_value			confirmed			
0x00405444	1258	sweep_bounds_cleanup_area_entities			confirmed			
0x0040592e	309	remove_biome_brush_cell_objects_from_undo_mgr			confirmed			
0x00405a63	656	recreate_and_track_biome_brush_flattening_groups			confirmed			
0x00405cf3	154	handle_biome_undo_delete_flattening			confirmed			
0x00405d8d	158	handle_biome_undo_recreate_flattening			confirmed			
0x00405e2b	92	set_biome_mode_painting_active			confirmed			
0x00405e87	22	set_biome_paint_object_mode		mode	confirmed			
0x00405e9d	19	is_first_pointer_vector_entry_nonzero			confirmed			
0x00405eb0	95	append_4byte_vector_value			confirmed			
0x00405f0f	105	copy_construct_named_ui_value_assignment_ref_vector			confirmed			
0x00405f78	110	append_8byte_vector_value			confirmed			
0x00405fe6	95	append_4byte_vector_value_checked_growth			confirmed			
0x00406045	102	count_ordered_container_key_matches		matches	confirmed			
0x004060ab	174	get_or_insert_refcounted_ui_value_tree_payload			confirmed			
0x00406159	206	get_or_insert_refcounted_ui_value_pair_tree_payload			confirmed			
0x00406227	67	init_red_black_tree_header			confirmed			
0x0040626a	49	destroy_red_black_tree_storage			confirmed			
0x0040629b	175	get_or_insert_four_dword_key_tree_entry			confirmed			
0x0040634a	92	lower_bound_four_dword_key_tree			confirmed			
0x004063a6	191	get_or_insert_ui_value_assignment_dependent_tree_entry			confirmed			
0x00406465	105	count_ordered_container_key_matches_checked			confirmed			
0x004064ce	30	destroy_refcounted_ui_value_assignment_dependent			confirmed			
0x004064ec	48	destroy_red_black_tree_storage			confirmed			
0x0040651c	196	get_or_insert_dword_key_tree_entry			confirmed			
0x004065e0	99	count_ordered_container_key_matches_inline_lower_bound			confirmed			
0x0040665b	153	register_biome_mode_ui_handler			confirmed			
0x0040673b	185	get_or_insert_64bit_key_tree_entry			confirmed			
0x004067f4	128	lower_bound_64bit_key_tree			confirmed			
0x0040688f	25	copy_construct_red_black_tree_storage			confirmed			
0x004068a8	149	resize_4byte_vector			confirmed			
0x0040693d	110	insert_4byte_vector_value_at_checked_iterator			confirmed			
0x004069ab	110	insert_8byte_vector_value_at_checked_iterator			confirmed			
0x00406a19	111	insert_4byte_vector_value_at_checked_iterator_b			confirmed			
0x00406a88	382	insert_refcounted_value_pair_tree_entry_unique			confirmed			
0x00406c06	48	destroy_red_black_tree_storage			confirmed			
0x00406c36	378	insert_four_dword_key_tree_node			confirmed			
0x00406db0	47	compare_four_dword_tree_key_less			confirmed			
0x00406ddf	98	copy_red_black_tree_storage_with_header_links			confirmed			
0x00406e41	402	insert_fill_4byte_vector_range			confirmed			
0x00406fd3	205	get_or_insert_refcounted_value_pair_tree_entry			confirmed			
0x004070a0	148	erase_refcounted_value_tree_range_checked			confirmed			
0x00407134	341	insert_64bit_key_tree_node			confirmed			
0x00407289	145	erase_red_black_tree_range_checked			confirmed			
0x0040731a	50	lower_bound_four_dword_key_tree_from_rightmost			confirmed			
0x0040734c	64	rotate_tree_node_left_flag25			confirmed			
0x0040738c	66	rotate_tree_node_right_flag25			confirmed			
0x004073ce	64	rotate_tree_node_left			confirmed			
0x0040740e	148	erase_red_black_tree_range_checked_b			confirmed			
0x004074a2	160	append_biome_mode_ui_handler_entry			confirmed			
0x00407542	677	erase_string_pair_tree_node			confirmed			
0x004077e7	36	clear_string_pair_tree_storage			confirmed			
0x0040780b	82	allocate_refcounted_value_pair_tree_node			confirmed			
0x0040785d	673	erase_inline_ui_typed_value_tree_node			confirmed			
0x00407afe	36	clear_inline_ui_typed_value_tree_storage			confirmed			
0x00407b22	35	lower_bound_dword_key_tree			confirmed			
0x00407b45	43	copy_four_dword_tree_node_payload			confirmed			
0x00407b70	80	destroy_string_pair_tree_nodes_recursive			confirmed			
0x00407bc0	63	destroy_inline_ui_typed_value_tree_nodes_recursive			confirmed			
0x00407bff	49	destroy_plain_tree_nodes_recursive			confirmed			
0x00407c94	40	as_BFComponent			confirmed			
0x00407d84	40	as_UIComponent			confirmed			
0x00407dca	117	register_biome_mode_ui_handler_entries			confirmed			
0x00407e3f	40	as_BFGBiome			confirmed			
0x00407e67	40	as_BFTerrainDecalComponent			confirmed			
0x00407e8f	40	as_UIToggleSet			confirmed			
0x00407eb7	40	as_UIToggleButton			confirmed			
0x00407edf	40	keep_component_if_in_current_ui_context			confirmed			
0x00407f07	40	as_UIButton			confirmed			
0x00407f2f	23	get_selected_BFGBiomeData			confirmed			
0x00407f46	59	find_8byte_ref_entry_by_key			confirmed			
0x00407f81	88	try_get_BFUndoTransactionData_value			confirmed			
0x00407fd9	40	as_ZTPath			confirmed			
0x00408001	40	get_current_zt_undo_mgr_if_present			confirmed			
0x00408029	49	copy_named_ui_value_assignment_ref_range			confirmed			
0x004080be	40	as_BFGBiomeData			confirmed			
0x004080e6	43	copy_named_ui_value_assignment_ref_range_b			confirmed			
0x00408111	39	memmove_4byte_vector_tail			confirmed			
0x004081bc	36	call_strided_destructor_range_reverse			confirmed			
0x004081e0	30	call_strided_destructor_range_forward			confirmed			
0x0040821a	23	assign_inline_ui_string_from_view			confirmed			
0x00408231	84	assign_inline_ui_string_chars			confirmed			
0x00408285	38	update_inline_ui_string_length			confirmed			
0x004082ab	28	memmove_s_return_dest			confirmed			
0x004082c7	28	memcpy_s_return_dest			confirmed			
0x0040833d	29	destroy_string_exception_object			confirmed			
0x00408375	34	construct_string_exception_from_inline_string		string	confirmed			
0x00408397	38	construct_inline_ui_string_copy			confirmed			
0x004083bd	74	destroy_inline_ui_string_storage			confirmed			
0x00408407	28	set_inline_ui_string_length_and_terminator			confirmed			
0x00408423	146	assign_inline_ui_string_substr			confirmed			
0x004084b5	111	erase_inline_ui_string_range			confirmed			
0x00408524	94	resize_inline_ui_string_storage			confirmed			
0x00408582	150	grow_inline_ui_string_storage			confirmed			
0x00408618	58	allocate_inline_ui_string_buffer			confirmed			
0x00408688	34	construct_inline_ui_string_from_cstr			confirmed			
0x004086aa	35	assign_inline_ui_string_from_cstr_length			confirmed			
0x004086cd	114	assign_inline_ui_string_checked_chars			confirmed			
0x0040873f	52	inline_ui_string_storage_contains_pointer			confirmed			
0x00408773	24	raise_exception_object_via_vtable			confirmed			
0x0040878b	46	make_checked_8byte_vector_iterator_pair			confirmed			
0x004087b9	412	insert_fill_8byte_vector_range			confirmed			
0x00408955	62	allocate_8byte_vector_storage			confirmed			
0x00408993	56	copy_named_ui_value_assignment_ref_range_backward			confirmed			
0x004089cb	22	type_chain_contains_type			confirmed			
0x004089e1	29	compare_u32_key_three_way			confirmed			
0x00408a37	24	destroy_ui_value_assignment_base			confirmed			
0x00408a6a	37	init_8byte_vector_storage_with_capacity			confirmed			
0x00408aa2	38	format_bool_to_inline_ui_string		string	confirmed			
0x00408ae9	34	advance_four_dword_spatial_key_past_boundary			confirmed			
0x00408b0b	22	init_named_ui_value_assignment_ref_copy			confirmed			
0x00408b21	29	get_grid_vertex_effective_height		height	confirmed			
0x00408b53	108	format_float_or_int_to_inline_ui_string		string	confirmed			
0x00408c0d	49	copy_scaled_grid_vertex_to_point3			confirmed			
0x00408c3e	33	destroy_named_ui_value_assignment_ref			confirmed			
0x00408c5f	35	init_zero_point3_with_flag			confirmed			
0x00408c82	71	clear_named_ui_value_assignment_ref_vector			confirmed			
0x00408cc9	56	get_main_obj_string_key			confirmed			
0x00408d01	36	round_radians_to_degrees			confirmed			
0x00408d25	139	quantize_degrees_to_45_mod_360			confirmed			
0x00408db0	29	random_unit_float			confirmed			
0x00408dcd	19	is_inline_ui_string_empty		empty	confirmed			
0x00408de0	43	compare_inline_ui_string_to_cstr			confirmed			
0x00408e0b	22	construct_bf_string_from_cstr_return_dest			confirmed			
0x00408e21	24	release_refcounted_object_at_pointer			confirmed			
0x00408e39	38	compute_vec3_length_squared			confirmed			
0x00408e5f	34	construct_refcounted_inline_ui_value			confirmed			
0x00408f07	26	parse_inline_ui_string_nonnegative_int		int	confirmed			
0x00408f51	56	parse_inline_ui_string_bool		bool	confirmed			
0x00408f89	31	init_inline_ui_string_from_cstr			confirmed			
0x00408fa8	88	assign_inline_ui_string_from_cstr_allocating			confirmed			
0x00409000	78	normalize_vec2_in_place_return_length			confirmed			
0x0040904e	37	compute_vec2_length			confirmed			
0x00409073	79	compute_float_sqrt			confirmed			
0x004090c2	40	grid_cell_has_all_corner_height_refs			confirmed			
0x004090ea	62	get_grid_cell_from_world_xy			confirmed			
0x00409128	31	floor_float_to_int		int	confirmed			
0x00409147	52	get_grid_cell_by_indices			confirmed			
0x0040917b	25	init_refcounted_ui_value_copy			confirmed			
