address	section	name	status	family
0x008bd000	.rdata	Lua parser type-name pointer table	identified	Engine/platform/runtime variables/data
0x008bfff6	.rdata	UI camera command centerMouseOnHide string tail	identified	UI/content/profile variables/data
0x00909b54	.rdata	Lua standard-library opener function table	identified	Engine/platform/runtime variables/data
0x00913a6c	.rdata	network upload XBOX360 platform string head	identified	Engine/platform/runtime variables/data
0x00913a70	.rdata	network upload XBOX360 platform string tail	identified	Engine/platform/runtime variables/data
0x00919028	.data	MSVC security cookie global	identified	Engine/platform/runtime variables/data
0x0091902c	.data	MSVC security cookie complement global	identified	Engine/platform/runtime variables/data
0x009190b8	.data	runtime XML object lookup key cell A	identified	UI/content/profile variables/data
0x009190bc	.data	runtime XML object lookup key cell B	identified	UI/content/profile variables/data
0x0091936c	.data	curve/interpolation mode string key cells	identified	Engine/platform/runtime variables/data
0x00919370	.data	curve wrap-mode token cell 0	identified	Engine/platform/runtime variables/data
0x00919374	.data	curve wrap-mode token cell 1	identified	Engine/platform/runtime variables/data
0x00919378	.data	curve wrap-mode token cell 2	identified	Engine/platform/runtime variables/data
0x0091937c	.data	curve duration/period XML key cell	identified	Engine/platform/runtime variables/data
0x009193cc	.data	curve sample serialization key cells	identified	Engine/platform/runtime variables/data
0x009193d0	.data	float-pair curve sample first-value XML key cell	identified	Engine/platform/runtime variables/data
0x009193d4	.data	float-pair curve sample second-value XML key cell	identified	Engine/platform/runtime variables/data
0x00919aa0	.data	guest view/donation numToSee scalar cache global	identified	Gameplay/entity variables/data
0x00919ba0	.data	runtime record serial counter before NiSystem metadata	identified	Engine/platform/runtime variables/data
0x00919bfc	.data	app-shell/profile mode state cell	identified	UI/content/profile variables/data
0x00919c00	.data	live UI/profile context string pointer cell	identified	UI/content/profile variables/data
0x00919c04	.data	game-mode/profile path cache pointer cell	identified	UI/content/profile variables/data
0x00919c08	.data	IMEUILIB marker string	identified	UI/content/profile variables/data
0x00919c28	.data	IME/UI color and render-state defaults	identified	UI/content/profile variables/data
0x00919c2c	.data	IME symbol off-color default cell	identified	UI/content/profile variables/data
0x00919c38	.data	IME symbol draw-resource pointer cell	identified	UI/content/profile variables/data
0x00919c3c	.data	IME candidate-window base-color sentinel cell	identified	UI/content/profile variables/data
0x00919c40	.data	IME candidate-window text-color sentinel cell	identified	UI/content/profile variables/data
0x00919c44	.data	IME candidate-window text-color default cell	identified	UI/content/profile variables/data
0x00919c48	.data	IME composition input-color default cell	identified	UI/content/profile variables/data
0x00919c4c	.data	IME composition target-converted color default cell	identified	UI/content/profile variables/data
0x00919c50	.data	IME composition converted-color default cell	identified	UI/content/profile variables/data
0x00919c54	.data	IME composition target-not-converted color default cell	identified	UI/content/profile variables/data
0x00919c58	.data	IME composition input-error color default cell	identified	UI/content/profile variables/data
0x00919c60	.data	IME composition text-color default cell	identified	UI/content/profile variables/data
0x00919c64	.data	IME composition behavior flags cell	identified	UI/content/profile variables/data
0x00919c68	.data	IME composition resource pointer selection cells	identified	UI/content/profile variables/data
0x00919c6c	.data	IME Chinese sublanguage reading-string constant	identified	UI/content/profile variables/data
0x00919c70	.data	IME Chinese default reading-string constant	identified	UI/content/profile variables/data
0x00919c74	.data	IME Korean reading-string constant	identified	UI/content/profile variables/data
0x00919c78	.data	IME Japanese reading-string constant	identified	UI/content/profile variables/data
0x00919c7c	.data	IME UI XML-loaded resource pointer cells	identified	UI/content/profile variables/data
0x00919c80	.data	IME TSF advised sink cookie cell 1	identified	UI/content/profile variables/data
0x00919c84	.data	IME TSF advised sink cookie cell 2	identified	UI/content/profile variables/data
0x00919c88	.data	XML-loaded resource pointer cell before config4 defaults	identified	UI/content/profile variables/data
0x00919d48	.data	startup graphics backbuffer width/height globals	identified	Engine/platform/runtime variables/data
0x00919d4c	.data	startup graphics backbuffer height global	identified	Engine/platform/runtime variables/data
0x00919e60	.data	Windows locale language-id cell used by NiAnimation-adjacent resource 	identified	Engine/platform/runtime variables/data
0x0091a030	.data	shared runtime object/id counter global	identified	Engine/platform/runtime variables/data
0x0091a2ac	.data	secondary shared runtime object/id counter global	identified	Engine/platform/runtime variables/data
0x0091a35c	.data	optional vtable-query default selector cell	identified	Engine/platform/runtime variables/data
0x0091b4fc	.data	zlib stream-error status string pointer	identified	Engine/platform/runtime variables/data
0x0091b504	.data	zlib insufficient-memory status string pointer	identified	Engine/platform/runtime variables/data
