call_site	name	kind	cache_global	parent_getter	parent_name	owner_domain
0x401030	ZTBiomeMode	direct	0x94f640	0x4185ed	ZTEntityMovementMode	
0x407c82	BFSafeHandle<BFComponent>	indirect	0x94da6c	0x893800		
0x407d0e	BFSafeHandle<BFGEntity>	indirect	0x94da5c	0x893800		
0x407d72	BFSafeHandle<UIComponent>	indirect	0x94da4c	0x893800		
0x4080ac	BFSafeHandle<BFGBiome>	indirect	0x94da3c	0x893800		
0x4092c6	ZTCameraCommandReader	direct	0x94f638	0x440a3c	ZTMode	
0x40b185	ZTDeleteMode	direct	0x94fec4	0x44dce4	ZTSelectionMode	
0x40ed56	BFSafeHandle<ZTTransportStationBase>	indirect	0x94da2c	0x893800		
0x40f040	ZTDownloadMode	direct	0x94f630	0x440a3c	ZTMode	
0x40ffda	BFSafeHandle<BFXMLObj>	indirect	0x94da24	0x893800		
0x410275	ZTElevatedCurbMode	direct	0x94f628	0x440a3c	ZTMode	
0x412586	ZTElevatedPathMode	direct	0x94f620	0x440a3c	ZTMode	
0x417bde	BFSafeHandle<BFBinder>	indirect	0x94da1c	0x893800		
0x417c6a	BFSafeHandle<BFPhysObj>	indirect	0x94da0c	0x893800		
0x418609	ZTEntityMovementMode	direct	0x94f618	0x440a3c	ZTMode	
0x41f097	ZTFenceMode	direct	0x94f610	0x440a3c	ZTMode	
0x42800a	BFSafeHandle<ZTFence>	indirect	0x94d9fc	0x893800		
0x428235	FileInfo	direct	0x94d9f4	0x5a6d7f	BFXMLObj	
0x42841b	ZTFileMode	direct	0x94f600	0x440a3c	ZTMode	
0x4293f6	ZTGameMode	direct	0x94f5f8	0x440a3c	ZTMode	
0x42d816	(computed)	indirect	0x94d9e4	0x893800		
0x42d9d2	ZTGestureCreationMode	direct	0x94f5f0	0x440a3c	ZTMode	
0x42dd2e	ZTGfxOptionsMode	direct	0x94f5e8	0x440a3c	ZTMode	
0x43249c	ZTGroundTrackMode	direct	0x94f5e0	0x440a3c	ZTMode	
0x4367e9	BFSafeHandle<ZTTransportTrack>	indirect	0x94d9d4	0x893800		
0x436875	BFSafeHandle<ZTTransportGroundTrack>	indirect	0x94d9c4	0x893800		
0x436b64	ZTGuestViewMode	direct	0x94f5d8	0x440a3c	ZTMode	
0x4377f1	ZTLoadMode	direct	0x94feb0	0x4283ff	ZTFileMode	
0x43850f	ZTMainMode	direct	0x94f5d0	0x440a3c	ZTMode	
0x440a58	ZTMode	direct	0x94f5c8	0x6478b2	UIContainer	
0x4438a9	ZTOverheadMode	direct	0x94fea8	0x440a3c	ZTMode	
0x4464e9	ZTPathMode	direct	0x94fe98	0x440a3c	ZTMode	
0x44a851	ZTPlacementMode	direct	0x94fe90	0x4185ed	ZTEntityMovementMode	
0x44c9e4	ZTSaveMode	direct	0x94fe80	0x4283ff	ZTFileMode	
0x44dd00	ZTSelectionMode	direct	0x94fe78	0x4185ed	ZTEntityMovementMode	selection/mode UI
0x467652	ZTSkyTrackMode	direct	0x950390	0x44a835	ZTPlacementMode	mode/tool
0x46bab1	BFSafeHandle<ZTTransportSkyTrack>	indirect	0x94d978	0x893800		
