class	vtable	base_classes	slot_count
vtable_008b80c0	0x008b80c0		8
vtable_008b80f0	0x008b80f0		10
vtable_008b812c	0x008b812c		8
vtable_008b8158	0x008b8158		9
vtable_008b8190	0x008b8190		10
vtable_008b81c8	0x008b81c8		8
vtable_008b81f8	0x008b81f8		10
vtable_008b8234	0x008b8234		9
vtable_008b8268	0x008b8268		10
vtable_008b82b0	0x008b82b0		10
vtable_008b82e4	0x008b82e4		15
vtable_008b8340	0x008b8340		10
vtable_008b8378	0x008b8378		17
vtable_008b83dc	0x008b83dc		15
vtable_008b8434	0x008b8434		15
vtable_008b8490	0x008b8490		15
vtable_008b84e8	0x008b84e8		14
vtable_008b853c	0x008b853c		12
vtable_008b8708	0x008b8708		4
vtable_008b871c	0x008b871c		4
vtable_008b874c	0x008b874c		9
vtable_008b877c	0x008b877c		5
vtable_008b87b8	0x008b87b8		6
vtable_008b87d8	0x008b87d8		7
vtable_008b8810	0x008b8810		7
vtable_008b883c	0x008b883c		6
vtable_008b8860	0x008b8860		7
vtable_008b8884	0x008b8884		6
vtable_008b88a8	0x008b88a8		7
vtable_008b88c8	0x008b88c8		7
vtable_008b88f4	0x008b88f4		5
vtable_008b8914	0x008b8914		7
vtable_008b8938	0x008b8938		7
vtable_008bc53c	0x008bc53c		12
vtable_008bc594	0x008bc594		5
vtable_008bc5c0	0x008bc5c0		7
vtable_008bc5e8	0x008bc5e8		7
vtable_008bc61c	0x008bc61c		7
vtable_008bc648	0x008bc648		4
ZTBiomeMode	0x008bf7e0		36
vtable_008bf878	0x008bf878		14
vtable_008bf8c4	0x008bf8c4		7
vtable_008bf900	0x008bf900		6
vtable_008bf920	0x008bf920		18
vtable_008bf970	0x008bf970		93
ZTBiomeMode	0x008bfae4		9
vtable_008bfb90	0x008bfb90		5
BFSafeHandleBase	0x008bfbac		5
BFXMLObj	0x008bfbc0		13
BFEvent	0x008bfbf8		33
BFBooleanEvent	0x008bfc80		33
BFFloatEvent	0x008bfd08		33
BFStringEvent	0x008bfd90		48
TriangleID	0x008bfe50		13
ZTCameraCommandReader	0x008c0008		36
vtable_008c00a0	0x008c00a0		14
vtable_008c00ec	0x008c00ec		7
vtable_008c0128	0x008c0128		6
vtable_008c0148	0x008c0148		18
vtable_008c0198	0x008c0198		83
ZTCameraCommandReader	0x008c02e4		4
ZTDeleteMode	0x008c04b0		36
vtable_008c0548	0x008c0548		14
vtable_008c0594	0x008c0594		7
vtable_008c05d0	0x008c05d0		6
vtable_008c05f0	0x008c05f0		18
vtable_008c0640	0x008c0640		110
vtable_008c0808	0x008c0808		13
BFXMLObjEvent	0x008c0840		33
UIPointObj	0x008c08c4		13
ZTDownloadMode	0x008c0a10		36
vtable_008c0aa8	0x008c0aa8		14
vtable_008c0af4	0x008c0af4		7
vtable_008c0b30	0x008c0b30		6
vtable_008c0b50	0x008c0b50		18
vtable_008c0ba0	0x008c0ba0		81
ZTDownloadMode	0x008c0ce4		7
vtable_008c0d10	0x008c0d10		16
BFXMLObjHandleEvent	0x008c0d50		41
ZTElevatedCurbMode	0x008c0e60		36
vtable_008c0ef8	0x008c0ef8		14
vtable_008c0f44	0x008c0f44		7
vtable_008c0f80	0x008c0f80		6
vtable_008c0fa0	0x008c0fa0		18
vtable_008c0ff0	0x008c0ff0		76
ZTElevatedCurbMode	0x008c1120		4
BFXMLElement	0x008c1130		16
ZTElevatedPathMode	0x008c1290		36
vtable_008c1328	0x008c1328		14
vtable_008c1374	0x008c1374		7
vtable_008c13b0	0x008c13b0		6
vtable_008c13d0	0x008c13d0		18
vtable_008c1420	0x008c1420		76
ZTElevatedPathMode	0x008c1550		9
vtable_008c1578	0x008c1578		4
ZTEntityMovementMode	0x008c19a0		36
vtable_008c1a38	0x008c1a38		14
vtable_008c1a84	0x008c1a84		7
vtable_008c1ac0	0x008c1ac0		6
vtable_008c1ae0	0x008c1ae0		18
vtable_008c1b30	0x008c1b30		92
ZTEntityMovementMode	0x008c1ca0		4
BFPoint3Obj	0x008c1cb0		13
ZTFenceMode	0x008c1f48		36
vtable_008c1fe0	0x008c1fe0		14
