type_name	coverage_class	pivot_segment	pivot_source	pivot_name_status	pivot_link_status	pivot_slot_status	bar_weight	name_shape	cache_cell_count	cache_addresses	raw_cache_names	getter_addresses	registered_link	parent_type	parent_status	class_row_count	class_vtable_count	zero_slot_row_count	class_vtables	class_slot_total	confirmed_slot_total	matching_named_vtable_signals	address_only_vtable_signals	foreign_vtable_getter_uses	base_virtual_member_signals
ACTOR_EVENT_ROOT	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450d4	g_type_ACTOR_EVENT_ROOT	0x008aabca	getter and parent/root linked		root	0	0	0		0	0				
ANIM_ADJUST	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450dc	g_type_ANIM_ADJUST	0x008aabe2;0x008aabfa	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_END	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450d8	g_type_ANIM_END	0x008aabca;0x008aabe2	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_REQUEST	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450e0	g_type_ANIM_REQUEST	0x008aabfa;0x008aac12	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_REQUEST_FAILURE	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450f0	g_type_ANIM_REQUEST_FAILURE	0x008aac5a;0x008aac72	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_REQUEST_SUCCESS	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450ec	g_type_ANIM_REQUEST_SUCCESS	0x008aac42;0x008aac5a	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_RESET_PHASE	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450e8	g_type_ANIM_RESET_PHASE	0x008aac2a;0x008aac42	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
ANIM_STOP	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009450e4	g_type_ANIM_STOP	0x008aac12;0x008aac2a	getter and parent/root linked	ACTOR_EVENT_ROOT	parent	0	0	0		0	0				
BEH_ABORT	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x00938108	g_type_BEH_ABORT	0x008a55ce;0x008a55e6	getter and parent/root linked	BEH_EVENT_ROOT	parent	0	0	0		0	0				
BEH_APPEND	registered-linked-only	Type-cache: named; getter and parent/root linked; zero virtual slots	type-cache	named	linked	zero-slot-complete	1	command-token	1	0x009380fc	g_type_BEH_APPEND	0x008a5586;0x008a559e	getter and parent/root linked	BEH_EVENT_ROOT	parent	0	0	0		0	0				
