class	vtable	slot	method_addr	method_name	status
ZTElevatedCurbMode	0x008c0e60	0	0x004104b0		unidentified
ZTElevatedCurbMode	0x008c0e60	1	0x00410288		unidentified
ZTElevatedCurbMode	0x008c0e60	2	0x004102ad		unidentified
ZTElevatedCurbMode	0x008c0e60	3	0x005b1bae		unidentified
ZTElevatedCurbMode	0x008c0e60	4	0x005b1bd1		unidentified
ZTElevatedCurbMode	0x008c0e60	5	0x005a6e0f		unidentified
ZTElevatedCurbMode	0x008c0e60	6	0x00598c59		unidentified
ZTElevatedCurbMode	0x008c0e60	7	0x006aa4ed		unidentified
ZTElevatedCurbMode	0x008c0e60	8	0x006aa4ed		unidentified
ZTElevatedCurbMode	0x008c0e60	9	0x005a6e69		unidentified
ZTElevatedCurbMode	0x008c0e60	10	0x005a6e56		unidentified
ZTElevatedCurbMode	0x008c0e60	11	0x005a6e8d		unidentified
ZTElevatedCurbMode	0x008c0e60	12	0x005a6ed8		unidentified
ZTElevatedCurbMode	0x008c0e60	13	0x00642753		unidentified
ZTElevatedCurbMode	0x008c0e60	14	0x0044167e		unidentified
ZTElevatedCurbMode	0x008c0e60	15	0x007c5781		unidentified
ZTElevatedCurbMode	0x008c0e60	16	0x007c5781		unidentified
ZTElevatedCurbMode	0x008c0e60	17	0x007c5781		unidentified
ZTElevatedCurbMode	0x008c0e60	18	0x00408178		unidentified
ZTElevatedCurbMode	0x008c0e60	19	0x00597bec		unidentified
ZTElevatedCurbMode	0x008c0e60	20	0x004105ed	read_placement_anchor_colors	confirmed
ZTElevatedCurbMode	0x008c0e60	21	0x007c67e5		unidentified
ZTElevatedCurbMode	0x008c0e60	22	0x00642781		unidentified
ZTElevatedCurbMode	0x008c0e60	23	0x006427b7		unidentified
ZTElevatedCurbMode	0x008c0e60	24	0x006428b7		unidentified
ZTElevatedCurbMode	0x008c0e60	25	0x00647b7a		unidentified
ZTElevatedCurbMode	0x008c0e60	26	0x00440f0f		unidentified
ZTElevatedCurbMode	0x008c0e60	27	0x00440f23		unidentified
ZTElevatedCurbMode	0x008c0e60	28	0x00440eff		unidentified
ZTElevatedCurbMode	0x008c0e60	29	0x00642a66		unidentified
ZTElevatedCurbMode	0x008c0e60	30	0x0043f08d		unidentified
ZTElevatedCurbMode	0x008c0e60	31	0x0043f08d		unidentified
ZTElevatedCurbMode	0x008c0e60	32	0x00647c6f		unidentified
ZTElevatedCurbMode	0x008c0e60	33	0x00647ca4		unidentified
ZTElevatedCurbMode	0x008c0e60	34	0x00647cd9		unidentified
ZTElevatedCurbMode	0x008c0e60	35	0x00647d64		unidentified
ZTElevatedCurbMode	0x008c0e60	36	0x00642c39		unidentified
ZTElevatedCurbMode	0x008c0e60	37	0x00642c62		unidentified
ZTElevatedCurbMode	0x008c0e60	38	0x00642c8b		unidentified
ZTElevatedCurbMode	0x008c0e60	39	0x00642cad		unidentified
ZTElevatedCurbMode	0x008c0e60	40	0x00642ccf		unidentified
ZTElevatedCurbMode	0x008c0e60	41	0x00642d18		unidentified
ZTElevatedCurbMode	0x008c0e60	42	0x00642d6f		unidentified
ZTElevatedCurbMode	0x008c0e60	43	0x00642dc7		unidentified
ZTElevatedCurbMode	0x008c0e60	44	0x00642e18		unidentified
ZTElevatedCurbMode	0x008c0e60	45	0x00642e69		unidentified
ZTElevatedCurbMode	0x008c0e60	46	0x00642eba		unidentified
ZTElevatedCurbMode	0x008c0e60	47	0x00642f0b		unidentified
ZTElevatedCurbMode	0x008c0e60	48	0x00647ea2		unidentified
ZTElevatedCurbMode	0x008c0e60	49	0x00642ffe		unidentified
ZTElevatedCurbMode	0x008c0e60	50	0x00643015		unidentified
ZTElevatedCurbMode	0x008c0e60	51	0x0064302c		unidentified
ZTElevatedCurbMode	0x008c0e60	52	0x00643071		unidentified
ZTElevatedCurbMode	0x008c0e60	53	0x006430b8		unidentified
ZTElevatedCurbMode	0x008c0e60	54	0x006430fd		unidentified
ZTElevatedCurbMode	0x008c0e60	55	0x00643120		unidentified
ZTElevatedCurbMode	0x008c0e60	56	0x0064317b		unidentified
ZTElevatedCurbMode	0x008c0e60	57	0x006431a2		unidentified
ZTElevatedCurbMode	0x008c0e60	58	0x006431f0		unidentified
ZTElevatedCurbMode	0x008c0e60	59	0x00643287		unidentified
ZTElevatedCurbMode	0x008c0e60	60	0x006432f8		unidentified
ZTElevatedCurbMode	0x008c0e60	61	0x006433a7		unidentified
ZTElevatedCurbMode	0x008c0e60	62	0x00643403		unidentified
ZTElevatedCurbMode	0x008c0e60	63	0x00643441		unidentified
ZTElevatedCurbMode	0x008c0e60	64	0x0064347b		unidentified
ZTElevatedCurbMode	0x008c0e60	65	0x00647f2b		unidentified
ZTElevatedCurbMode	0x008c0e60	66	0x0064365c		unidentified
ZTElevatedCurbMode	0x008c0e60	67	0x0064367b		unidentified
ZTElevatedCurbMode	0x008c0e60	68	0x0064369f		unidentified
ZTElevatedCurbMode	0x008c0e60	69	0x006436e6		unidentified
ZTElevatedCurbMode	0x008c0e60	70	0x0064372d		unidentified
ZTElevatedCurbMode	0x008c0e60	71	0x00643772		unidentified
ZTElevatedCurbMode	0x008c0e60	72	0x00643507		unidentified
ZTElevatedCurbMode	0x008c0e60	73	0x00643581		unidentified
ZTElevatedCurbMode	0x008c0e60	74	0x00643602		unidentified
ZTElevatedCurbMode	0x008c0e60	75	0x00644299		unidentified
ZTElevatedCurbMode	0x008c0e60	76	0x00644300		unidentified
ZTElevatedCurbMode	0x008c0e60	77	0x006443d1		unidentified
ZTElevatedCurbMode	0x008c0e60	78	0x00644437		unidentified
ZTElevatedCurbMode	0x008c0e60	79	0x00644367		unidentified
ZTElevatedCurbMode	0x008c0e60	80	0x0064449e		unidentified
ZTElevatedCurbMode	0x008c0e60	81	0x00644507		unidentified
ZTElevatedCurbMode	0x008c0e60	82	0x00644609		unidentified
ZTElevatedCurbMode	0x008c0e60	83	0x0064468d		unidentified
ZTElevatedCurbMode	0x008c0e60	84	0x006446dc		unidentified
ZTElevatedCurbMode	0x008c0e60	85	0x00644706		unidentified
ZTElevatedCurbMode	0x008c0e60	86	0x00648151		unidentified
ZTElevatedCurbMode	0x008c0e60	87	0x00644721		unidentified
ZTElevatedCurbMode	0x008c0e60	88	0x006447e7		unidentified
